TabelaDinamica;CodigoTabDinamica;VersaoTabDinamica;Ano;COD_PLAN_REF;ESTRUTURA_COLUNAS
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_P150_B$12$1610;P150_B;12;2021;10;versão=12 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_P150_R$1$1037;P150_R;1;2018;2;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_P150_R$1$1183;P150_R;1;2019;2;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_P150_R$2$1335;P150_R;2;2020;2;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_P150_R$4$1488;P150_R;4;2021;2;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_A$3$390;U100_A;3;2014;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_A$3$606;U100_A;3;2015;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_A$3$735;U100_A;3;2016;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_A$1$877;U100_A;1;2017;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_A$1$1052;U100_A;1;2018;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_A$1$1196;U100_A;1;2019;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_A$2$1348;U100_A;2;2020;5;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_A$4$1501;U100_A;4;2021;5;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_B$4$391;U100_B;4;2014;6;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_B$3$607;U100_B;3;2015;6;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_B$3$736;U100_B;3;2016;6;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_B$2$878;U100_B;2;2017;6;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_B$1$1053;U100_B;1;2018;6;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_B$2$1197;U100_B;2;2019;6;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_B$2$1349;U100_B;2;2020;6;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_B$17$121978;U100_B;17;2021;6;versão=17 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_C$3$392;U100_C;3;2014;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_C$3$608;U100_C;3;2015;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_C$3$737;U100_C;3;2016;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_C$1$879;U100_C;1;2017;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_C$1$1054;U100_C;1;2018;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_C$1$1198;U100_C;1;2019;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_C$2$1350;U100_C;2;2020;7;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_C$4$1503;U100_C;4;2021;7;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_D$7$393;U100_D;7;2014;8;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_D$6$609;U100_D;6;2015;8;versão=6 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_D$3$738;U100_D;3;2016;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_D$1$880;U100_D;1;2017;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_D$1$1055;U100_D;1;2018;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_D$1$1199;U100_D;1;2019;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_D$4$101976;U100_D;4;2020;8;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_D$7$1504;U100_D;7;2021;8;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U100_E$3$394;U100_E;3;2014;9;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U100_E$5$590;U100_E;5;2015;9;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U100_E$3$739;U100_E;3;2016;9;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U100_E$1$881;U100_E;1;2017;9;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U100_E$2$1056;U100_E;2;2018;9;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U100_E$2$1200;U100_E;2;2019;9;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U100_E$2$1352;U100_E;2;2020;9;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U100_E$6$1505;U100_E;6;2021;9;versão=6 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_A$1$399;U150_A;1;2014;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_A$2$611;U150_A;2;2015;5;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_A$3$740;U150_A;3;2016;5;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_A$1$882;U150_A;1;2017;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U150_A$1$1057;U150_A;1;2018;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U150_A$1$1201;U150_A;1;2019;5;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U150_A$2$1353;U150_A;2;2020;5;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_A$4$1506;U150_A;4;2021;5;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_B$1$400;U150_B;1;2014;6;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_B$7$612;U150_B;7;2015;6;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_B$4$741;U150_B;4;2016;6;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_B$3$883;U150_B;3;2017;6;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U150_B$1$1058;U150_B;1;2018;6;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U150_B$1$1202;U150_B;1;2019;6;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U150_B$2$1354;U150_B;2;2020;6;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_B$10$1507;U150_B;10;2021;6;versão=10 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_C$2$401;U150_C;2;2014;7;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_C$5$597;U150_C;5;2015;7;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_C$3$742;U150_C;3;2016;7;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_C$1$884;U150_C;1;2017;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U150_C$1$1059;U150_C;1;2018;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U150_C$1$1203;U150_C;1;2019;7;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U150_C$2$1355;U150_C;2;2020;7;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_C$4$1508;U150_C;4;2021;7;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_D$3$402;U150_D;3;2014;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_D$3$614;U150_D;3;2015;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_D$3$743;U150_D;3;2016;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_D$1$885;U150_D;1;2017;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U150_D$1$1060;U150_D;1;2018;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U150_D$1$1204;U150_D;1;2019;8;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U150_D$3$1356;U150_D;3;2020;8;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_D$5$1509;U150_D;5;2021;8;versão=5 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2014$SPEDECF_DINAMICA_U150_E$3$403;U150_E;3;2014;9;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2015$SPEDECF_DINAMICA_U150_E$4$615;U150_E;4;2015;9;versão=4 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2016$SPEDECF_DINAMICA_U150_E$3$744;U150_E;3;2016;9;versão=3 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2017$SPEDECF_DINAMICA_U150_E$1$886;U150_E;1;2017;9;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2018$SPEDECF_DINAMICA_U150_E$2$1061;U150_E;2;2018;9;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2019$SPEDECF_DINAMICA_U150_E$1$1205;U150_E;1;2019;9;versão=1 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2020$SPEDECF_DINAMICA_U150_E$2$1357;U150_E;2;2020;9;versão=2 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
SPEDCONTABIL_DINAMICO_2021$SPEDECF_DINAMICA_U150_E$7$1510;U150_E;7;2021;9;versão=7 CODIGO, DESCRICAO, DT_INI, DT_FIM, ORDEM, TIPO, COD_SUP, NIVEL, NATUREZA
